arm,model,id,step_idx,epoch,efficacy,specificity,soft_shift,prediction_changed
base,Base LLaMA-3B,9-504,3,3,95.0212931632136,95.0,-3.90625,0
base,Base LLaMA-3B,9-504,3,4,96.35750026626357,85.0,-0.390625,0
base,Base LLaMA-3B,9-504,3,5,96.93270769834665,85.0,1.171875,0
base,Base LLaMA-3B,9-504,4,1,92.28882800316833,100.0,67.48046875,1
base,Base LLaMA-3B,9-504,4,2,97.02707836138413,100.0,78.7841796875,1
base,Base LLaMA-3B,9-504,4,3,96.63123844411354,85.0,80.01708984375,1
base,Base LLaMA-3B,9-504,4,4,96.8353413888964,85.0,80.859375,1
base,Base LLaMA-3B,9-504,4,5,97.11854554435962,90.0,80.859375,1
base,Base LLaMA-3B,9-504,5,1,83.73909214847609,95.0,-3.515625,0
base,Base LLaMA-3B,9-504,5,2,95.34117189923688,95.0,-13.671875,0
base,Base LLaMA-3B,9-504,5,3,96.19757532359709,100.0,-14.453125,0
base,Base LLaMA-3B,9-504,5,4,97.0845798710459,100.0,-14.0625,0
base,Base LLaMA-3B,9-504,5,5,97.50630901556111,95.0,-14.0625,0
base,Base LLaMA-3B,9-504,6,1,83.48302011027535,100.0,10.546875,0
base,Base LLaMA-3B,9-504,6,2,99.06817575836021,95.0,0.78125,0
base,Base LLaMA-3B,9-504,6,3,99.45220878765973,85.0,-3.125,0
base,Base LLaMA-3B,9-504,6,4,99.434820027982,95.0,-1.171875,0
base,Base LLaMA-3B,9-504,6,5,99.45220878765973,90.0,-2.734375,0
base,Base LLaMA-3B,7-1170,1,1,85.98222123159245,95.0,-3.515625,0
base,Base LLaMA-3B,7-1170,1,2,95.37742718715192,95.0,-13.28125,0
base,Base LLaMA-3B,7-1170,1,3,97.78206532565909,85.0,-12.5,0
base,Base LLaMA-3B,7-1170,1,4,98.52253698773008,80.0,-12.109375,0
base,Base LLaMA-3B,7-1170,1,5,98.73625891618538,85.0,-14.453125,0
base,Base LLaMA-3B,7-1170,3,1,86.88285456898058,100.0,17.1875,1
base,Base LLaMA-3B,7-1170,3,2,96.63123844411354,95.0,16.9921875,1
base,Base LLaMA-3B,7-1170,3,3,98.50512112127082,95.0,16.9921875,1
base,Base LLaMA-3B,7-1170,3,4,99.06452870139563,95.0,13.8671875,1
base,Base LLaMA-3B,7-1170,3,5,99.35706060585255,90.0,13.28125,1
base,Base LLaMA-3B,7-1170,5,1,91.66223507384336,100.0,26.7578125,1
base,Base LLaMA-3B,7-1170,5,2,97.37640586229477,100.0,40.52734375,1
base,Base LLaMA-3B,7-1170,5,3,98.9063232489395,95.0,47.314453125,1
base,Base LLaMA-3B,7-1170,5,4,99.09331012749392,100.0,46.97265625,1
base,Base LLaMA-3B,7-1170,5,5,99.19984899590855,100.0,46.97265625,1
base,Base LLaMA-3B,7-1170,7,1,78.1185567818616,95.0,5.46875,0
base,Base LLaMA-3B,7-1170,7,2,88.82405237023967,100.0,1.171875,0
base,Base LLaMA-3B,7-1170,7,3,93.11469840418007,100.0,-5.078125,0
base,Base LLaMA-3B,7-1170,7,4,94.63772172549265,100.0,-4.296875,0
base,Base LLaMA-3B,7-1170,7,5,95.55451517064725,100.0,-6.640625,0
base,Base LLaMA-3B,7-1170,9,1,88.95425610396357,90.0,13.4765625,1
base,Base LLaMA-3B,7-1170,9,2,94.35838604962227,95.0,19.921875,1
base,Base LLaMA-3B,7-1170,9,3,96.41397199034334,90.0,17.1875,1
